,decision_tree,gradient_boosting,knn,logreg,mlp,naive_bayes,random_forest,svm
14968,89.4140625,,88.9609375,91.73828125,363.43359375,,89.265625,89.82421875
14969,99.98046875,145.93359375,100.125,101.1171875,356.91796875,100.27734375,100.28515625,164.60546875
14970,320.375,320.3828125,320.51171875,320.03515625,543.23828125,320.1484375,320.33203125,320.17578125
14971,107.5703125,135.25390625,107.6796875,107.52734375,359.76171875,107.5625,107.66015625,359.75390625
34536,291.46875,290.9921875,291.1875,291.40234375,647.06640625,291.50390625,291.421875,291.30078125
34537,114.94140625,,115.30078125,114.77734375,368.07421875,,114.7578125,177.7109375
34538,93.8984375,,93.9140625,94.61328125,512.0859375,,93.72265625,93.48828125
34539,116.55078125,,116.4921875,116.5859375,1911.1171875,,116.51953125,373.08984375
125920,88.27734375,,87.90625,90.078125,361.71875,,88.296875,88.90625
125921,87.18359375,345.3359375,87.3984375,89.35546875,350.046875,87.09765625,87.24609375,87.04296875
125922,95.98046875,154.84375,96.10546875,97.015625,356.20703125,95.90234375,95.8125,95.8125
125923,87.54296875,94.24609375,87.60546875,89.13671875,350.1171875,87.58984375,87.7578125,88.5078125
146195,321.76171875,,322.48828125,322.28515625,506.33203125,,322.4296875,432.0234375
